交互检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表头,编号,名称,商品编号,渠道类型,商品类型,商品子类型,排序,价格,玉珏,正常赠送,每日赠送,首充赠送,标签,图标,首冲礼包,物品数量,图标,2次充值礼包,物品数量,图标,3次充值礼包,物品数量,图标,描述,充值赠赠送百分比,联想平台用,VIP等级显示,渠道特惠购买对应苹果id,名字,数量
,35001,300玉玦,cn.guodong.gong27_300yj,39,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,35002,980玉玦,cn.guodong.gong27_980yj,39,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,35003,1980玉玦,cn.guodong.gong27_1980yj,39,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,35004,3280玉玦,cn.guodong.gong27_3280yj,39,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,35005,6480玉玦,cn.guodong.gong27_6480yj,39,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,35006,月卡,cn.gamejelly.gong.appstore_yk,39,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,35007,周卡,cn.gamejelly.gong.appstore_zk,39,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,35008,10玉玦,cn.guodong.gong27_10yj,39,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,35009,32400玉玦,cn.guodong.gong27_32500yj,39,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,35010,36000玉玦,cn.guodong.gong.gong27_36000yj,39,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
IOS28,36000,60玉玦,cn.guodong.gong28_60yj,40,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,36001,300玉玦,cn.guodong.gong28_300yj,40,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,36002,980玉玦,cn.guodong.gong28_980yj,40,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,36003,1980玉玦,cn.guodong.gong28_1980yj,40,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,36004,3280玉玦,cn.guodong.gong28_3280yj,40,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,36005,6480玉玦,cn.guodong.gong28_6480yj,40,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,36006,月卡,cn.gamejelly.gong.appstore_yk,40,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,36007,周卡,cn.gamejelly.gong.appstore_zk,40,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,36008,10玉玦,cn.guodong.gong28_10yj,40,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,36009,32400玉玦,cn.guodong.gong28_32500yj,40,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,36010,36000玉玦,cn.guodong.gong.gong28_36000yj,40,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
IOS29,36011,60玉玦,cn.guodong.gong29_60yj,41,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,36012,300玉玦,cn.guodong.gong29_300yj,41,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,36013,980玉玦,cn.guodong.gong29_980yj,41,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,36014,1980玉玦,cn.guodong.gong29_1980yj,41,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,36015,3280玉玦,cn.guodong.gong29_3280yj,41,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,36016,6480玉玦,cn.guodong.gong29_6480yj,41,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,36017,月卡,cn.gamejelly.gong.appstore_yk,41,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,36018,周卡,cn.gamejelly.gong.appstore_zk,41,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,36019,10玉玦,cn.guodong.gong29_10yj,41,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,36020,32400玉玦,cn.guodong.gong29_32400yj,41,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,36021,36000玉玦,cn.guodong.gong.gong29_36000yj,41,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
gamejelly?,40000,60玉玦,cn.gamejelly.gong.appstore_60yj,2000,1,1,3,6,60,6,,60,1,1000,"(12000,12001,12002,)","(3,5,10,)",1000,,,,,,,,0.05,,,,,
,40001,300玉玦,cn.gamejelly.gong.appstore_300yj,2000,1,2,4,30,300,30,,300,1,1001,"(12000,12001,12002,)","(3,5,10,)",1001,"(12000,12001,12002,)","(3,5,10,)",1001,,,,,0.05,,,,,
,40002,980玉玦,cn.gamejelly.gong.appstore_980yj,2000,1,3,5,98,980,128,,980,1,1002,"(12000,12001,12002,)","(3,5,10,)",1002,"(12000,12001,12002,)","(3,5,10,)",1002,,,,,0.05,,,,,
,40003,1980玉玦,cn.gamejelly.gong.appstore_1980yj,2000,1,4,6,198,1980,288,,1980,1,1003,"(12000,12001,12002,)","(3,5,10,)",1003,"(12000,12001,12002,)","(3,5,10,)",1003,,,,,0.05,,,,,
,40004,3280玉玦,cn.gamejelly.gong.appstore_3280yj,2000,1,5,7,328,3280,628,,3280,1,1004,"(12000,12001,12002,)","(3,5,10,)",1004,"(12000,12001,12002,)","(3,5,10,)",1004,,,,,0.05,,,,,
,40005,6480玉玦,cn.gamejelly.gong.appstore_6480yj,2000,1,6,8,648,6480,1288,,6480,1,1005,"(12000,12001,12002,)","(3,5,10,)",1005,"(12000,12001,12002,)","(3,5,10,)",1005,,,,,0.05,,,,,
,40006,月卡,cn.gamejelly.gong.appstore_yk,2000,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,40007,周卡,cn.gamejelly.gong.appstore_zk,2000,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
uc,100000,60玉玦,cn.gamejelly.gong.uc_60yj,117,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,100001,300玉玦,cn.gamejelly.gong.uc_300yj,117,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,100002,980玉玦,cn.gamejelly.gong.uc_980yj,117,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,100003,1980玉玦,cn.gamejelly.gong.uc_1980yj,117,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,100004,3280玉玦,cn.gamejelly.gong.uc_3280yj,117,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,100005,6480玉玦,cn.gamejelly.gong.uc_6480yj,117,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,100006,月卡,cn.gamejelly.gong.appstore_yk,117,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,100007,周卡,cn.gamejelly.gong.appstore_zk,117,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,100008,36000玉玦,cn.gamejelly.gong.uc_36000yj,117,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,100009,uc特惠购买10玉玦,cn.gamejelly.uc.thgm_10yj,117,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,100010,uc特惠购买60玉玦,cn.gamejelly.uc.thgm_60yj,117,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,100011,uc特惠购买300玉玦,cn.gamejelly.uc.thgm_300yj,117,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,100012,uc特惠购买980玉玦,cn.gamejelly.uc.thgm_980yj,117,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,100013,uc特惠购买1980玉玦,cn.gamejelly.uc.thgm_1980yj,117,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,100014,uc特惠购买3280玉玦,cn.gamejelly.uc.thgm_3280yj,117,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,100015,uc特惠购买6480玉玦,cn.gamejelly.uc.thgm_6480yj,117,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
魅族,101000,60玉玦,cn.gamejelly.gong.mz_60yj,146,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,101001,300玉玦,cn.gamejelly.gong.mz_300yj,146,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,101002,980玉玦,cn.gamejelly.gong.mz_980yj,146,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,101003,1980玉玦,cn.gamejelly.gong.mz_1980yj,146,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,101004,3280玉玦,cn.gamejelly.gong.mz_3280yj,146,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,101005,6480玉玦,cn.gamejelly.gong.mz_6480yj,146,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,101006,月卡,cn.gamejelly.gong.appstore_yk,146,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,101007,周卡,cn.gamejelly.gong.appstore_zk,146,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,101008,36000玉玦,cn.gamejelly.gong.mz_36000yj,146,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,101009,特惠购买10玉玦,cn.gamejelly.mz.thgm_10yj,146,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,101010,特惠购买60玉玦,cn.gamejelly.mz.thgm_60yj,146,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,101011,特惠购买300玉玦,cn.gamejelly.mz.thgm_300yj,146,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,101012,特惠购买980玉玦,cn.gamejelly.mz.thgm_980yj,146,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,101013,特惠购买1980玉玦,cn.gamejelly.mz.thgm_1980yj,146,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,101014,特惠购买3280玉玦,cn.gamejelly.mz.thgm_3280yj,146,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,101015,特惠购买6480玉玦,cn.gamejelly.mz.thgm_6480yj,146,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
小米,102000,60玉玦,cn.gamejelly.gong.mi_60yj,116,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,102001,300玉玦,cn.gamejelly.gong.mi_300yj,116,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,102002,980玉玦,cn.gamejelly.gong.mi_980yj,116,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,102003,1980玉玦,cn.gamejelly.gong.mi_1980yj,116,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,102004,3280玉玦,cn.gamejelly.gong.mi_3280yj,116,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,102005,6480玉玦,cn.gamejelly.gong.mi_6480yj,116,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,102006,月卡,cn.gamejelly.gong.appstore_yk,116,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,102007,周卡,cn.gamejelly.gong.appstore_zk,116,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,102008,36000玉玦,cn.gamejelly.gong.mz_36000yj,116,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,102009,特惠购买10玉玦,cn.gamejelly.mi.thgm_10yj,116,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,102010,特惠购买60玉玦,cn.gamejelly.mi.thgm_60yj,116,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,102011,特惠购买300玉玦,cn.gamejelly.mi.thgm_300yj,116,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,102012,特惠购买980玉玦,cn.gamejelly.mi.thgm_980yj,116,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,102013,特惠购买1980玉玦,cn.gamejelly.mi.thgm_1980yj,116,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,102014,特惠购买3280玉玦,cn.gamejelly.mi.thgm_3280yj,116,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,102015,特惠购买6480玉玦,cn.gamejelly.mi.thgm_6480yj,116,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
oppo,103000,60玉玦,cn.gamejelly.gong.oppo_60yj,122,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,103001,300玉玦,cn.gamejelly.gong.oppo_300yj,122,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,103002,980玉玦,cn.gamejelly.gong.oppo_980yj,122,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,103003,1980玉玦,cn.gamejelly.gong.oppo_1980yj,122,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,103004,3280玉玦,cn.gamejelly.gong.oppo_3280yj,122,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,103005,6480玉玦,cn.gamejelly.gong.oppo_6480yj,122,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,103006,月卡,cn.gamejelly.gong.appstore_yk,122,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,103007,周卡,cn.gamejelly.gong.appstore_zk,122,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,103008,36000玉玦,cn.gamejelly.gong.oppo_36000yj,122,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,103009,特惠购买10玉玦,cn.gamejelly.oppo.thgm_10yj,122,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,103010,特惠购买60玉玦,cn.gamejelly.oppo.thgm_60yj,122,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,103011,特惠购买300玉玦,cn.gamejelly.oppo.thgm_300yj,122,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,103012,特惠购买980玉玦,cn.gamejelly.oppo.thgm_980yj,122,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,103013,特惠购买1980玉玦,cn.gamejelly.oppo.thgm_1980yj,122,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,103014,特惠购买3280玉玦,cn.gamejelly.oppo.thgm_3280yj,122,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,103015,特惠购买6480玉玦,cn.gamejelly.oppo.thgm_6480yj,122,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
vivo,104000,60玉玦,cn.gamejelly.gong.vivo_60yj,124,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,104001,300玉玦,cn.gamejelly.gong.vivo_300yj,124,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,104002,980玉玦,cn.gamejelly.gong.vivo_980yj,124,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,104003,1980玉玦,cn.gamejelly.gong.vivo_1980yj,124,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,104004,3280玉玦,cn.gamejelly.gong.vivo_3280yj,124,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,104005,6480玉玦,cn.gamejelly.gong.vivo_6480yj,124,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,104006,月卡,cn.gamejelly.gong.appstore_yk,124,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,104007,周卡,cn.gamejelly.gong.appstore_zk,124,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,104008,36000玉玦,cn.gamejelly.gong.vivo_36000yj,124,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,104009,特惠购买10玉玦,cn.gamejelly.vivo.thgm_10yj,124,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,104010,特惠购买60玉玦,cn.gamejelly.vivo.thgm_60yj,124,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,104011,特惠购买300玉玦,cn.gamejelly.vivo.thgm_300yj,124,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,104012,特惠购买980玉玦,cn.gamejelly.vivo.thgm_980yj,124,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,104013,特惠购买1980玉玦,cn.gamejelly.vivo.thgm_1980yj,124,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,104014,特惠购买3280玉玦,cn.gamejelly.vivo.thgm_3280yj,124,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,104015,特惠购买6480玉玦,cn.gamejelly.vivo.thgm_6480yj,124,4,18,9,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
lx,105000,60玉玦,cn.gamejelly.gong.lx_60yj,127,1,1,3,6,60,6,,60,1,1000,22015,,,,,115966,,,,,,,,,,
,105001,300玉玦,cn.gamejelly.gong.lx_300yj,127,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,115967,,,,,,,,,,
,105002,980玉玦,cn.gamejelly.gong.lx_980yj,127,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,115968,,,,,,,,,,
,105003,1980玉玦,cn.gamejelly.gong.lx_1980yj,127,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,115969,,,,,,,,,,
,105004,3280玉玦,cn.gamejelly.gong.lx_3280yj,127,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,115970,,,,,,,,,,
,105005,6480玉玦,cn.gamejelly.gong.lx_6480yj,127,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,115971,,,,,,,,,,
,105006,月卡,cn.gamejelly.gong.appstore_yk,127,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,105007,周卡,cn.gamejelly.gong.appstore_zk,127,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,105008,36000玉玦,cn.gamejelly.gong.lx_36000yj,127,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,105009,特惠购买10玉玦,cn.gamejelly.lx.thgm_10yj,127,4,12,9,1,,,,0,1,1007,,,,,,172923,,500006,,,,,,,,
,105010,特惠购买60玉玦,cn.gamejelly.lx.thgm_60yj,127,4,13,10,6,,,,0,1,1002,,,,,,172924,,500001,,,,,,,,
,105011,特惠购买300玉玦,cn.gamejelly.lx.thgm_300yj,127,4,14,11,30,,,,0,1,1001,,,,,,172925,,500000,,,,,,,,
,105012,特惠购买980玉玦,cn.gamejelly.lx.thgm_980yj,127,4,15,12,98,,,,0,1,1003,,,,,,172926,,500002,,,,,,,,
,105013,特惠购买1980玉玦,cn.gamejelly.lx.thgm_1980yj,127,4,16,13,198,,,,0,1,1004,,,,,,172927,,500003,,,,,,,,
,105014,特惠购买3280玉玦,cn.gamejelly.lx.thgm_3280yj,127,4,17,14,328,,,,0,1,1005,,,,,,172928,,500004,,,,,,,,
,105015,特惠购买6480玉玦,cn.gamejelly.lx.thgm_6480yj,127,4,18,15,648,,,,0,1,1006,,,,,,172929,,500005,,,,,,,,
ginoee,106000,60玉玦,cn.gamejelly.gong.gionee_60yj,131,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,106001,300玉玦,cn.gamejelly.gong.gionee_300yj,131,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,106002,980玉玦,cn.gamejelly.gong.gionee_980yj,131,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,106003,1980玉玦,cn.gamejelly.gong.gionee_1980yj,131,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,106004,3280玉玦,cn.gamejelly.gong.gionee_3280yj,131,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,106005,6480玉玦,cn.gamejelly.gong.gionee_6480yj,131,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,106006,月卡,cn.gamejelly.gong.appstore_yk,131,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,106007,周卡,cn.gamejelly.gong.appstore_zk,131,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,106008,36000玉玦,cn.gamejelly.gong.gionee_36000yj,131,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,106009,特惠购买10玉玦,cn.gamejelly.ginoee.thgm_10yj,131,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,106010,特惠购买60玉玦,cn.gamejelly.ginoee.thgm_60yj,131,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,106011,特惠购买300玉玦,cn.gamejelly.ginoee.thgm_300yj,131,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,106012,特惠购买980玉玦,cn.gamejelly.ginoee.thgm_980yj,131,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,106013,特惠购买1980玉玦,cn.gamejelly.ginoee.thgm_1980yj,131,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,106014,特惠购买3280玉玦,cn.gamejelly.ginoee.thgm_3280yj,131,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,106015,特惠购买6480玉玦,cn.gamejelly.ginoee.thgm_6480yj,131,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
华为,107000,60玉玦,cn.gamejelly.gong.huawei_60yj,119,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,107001,300玉玦,cn.gamejelly.gong.huawei_300yj,119,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,107002,980玉玦,cn.gamejelly.gong.huawei_980yj,119,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,107003,1980玉玦,cn.gamejelly.gong.huawei_1980yj,119,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,107004,3280玉玦,cn.gamejelly.gong.huawei_3280yj,119,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,107005,6480玉玦,cn.gamejelly.gong.huawei_6480yj,119,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,107006,月卡,cn.gamejelly.gong.appstore_yk,119,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,107007,周卡,cn.gamejelly.gong.appstore_zk,119,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,107008,36000玉玦,cn.gamejelly.gong.huaiwei_36000yj,119,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,107009,特惠购买10玉玦,cn.gamejelly.huawei.thgm_10yj,119,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,107010,特惠购买60玉玦,cn.gamejelly.huawei.thgm_60yj,119,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,107011,特惠购买300玉玦,cn.gamejelly.huawei.thgm_300yj,119,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
,107012,特惠购买980玉玦,cn.gamejelly.huawei.thgm_980yj,119,4,15,12,98,,,,0,1,1003,,,,,,,,500002,,,,,,,,
,107013,特惠购买1980玉玦,cn.gamejelly.huawei.thgm_1980yj,119,4,16,13,198,,,,0,1,1004,,,,,,,,500003,,,,,,,,
,107014,特惠购买3280玉玦,cn.gamejelly.huawei.thgm_3280yj,119,4,17,14,328,,,,0,1,1005,,,,,,,,500004,,,,,,,,
,107015,特惠购买6480玉玦,cn.gamejelly.huawei.thgm_6480yj,119,4,18,15,648,,,,0,1,1006,,,,,,,,500005,,,,,,,,
360,108000,60玉玦,cn.gamejelly.gong.360_60yj,115,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,108001,300玉玦,cn.gamejelly.gong.360_300yj,115,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,108002,980玉玦,cn.gamejelly.gong.360_980yj,115,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,108003,1980玉玦,cn.gamejelly.gong.360_1980yj,115,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,108004,3280玉玦,cn.gamejelly.gong.360_3280yj,115,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,108005,6480玉玦,cn.gamejelly.gong.360_6480yj,115,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,108006,月卡,cn.gamejelly.gong.appstore_yk,115,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,108007,周卡,cn.gamejelly.gong.appstore_zk,115,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,108008,36000玉玦,cn.gamejelly.gong.360_36000yj,115,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,108009,特惠购买10玉玦,cn.gamejelly.360.thgm_10yj,115,4,12,9,1,,,,0,1,1007,,,,,,,,500006,,,,,,,,
,108010,特惠购买60玉玦,cn.gamejelly.360.thgm_60yj,115,4,13,10,6,,,,0,1,1002,,,,,,,,500001,,,,,,,,
,108011,特惠购买300玉玦,cn.gamejelly.360.thgm_300yj,115,4,14,11,30,,,,0,1,1001,,,,,,,,500000,,,,,,,,
