交互检查规则,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,
表头,编号,对话内容,对话人物,对话人物名称,正在说话任务,下个对话,人物站位,位置偏移值,配音ID,屏幕坐标,介绍,场景,特殊,,断章对话
,395,我见他们姑侄互相打趣，便意识到该告辞了。,"(40024,40006,)",旁白,0,"(396,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,396,那小女子就不叨扰了。,"(40024,40006,)",玩家,-1,"(397,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,397,倒是我失礼了，来人，送南姑娘。,"(40024,40006,)",雁北归,40024,"(398,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,398,小女子告辞。,"(40024,40006,)",玩家,-1,,"(1,3,)","(-356,-309,)",,2,,1003,,,
3-4-（32）-沙弥,399,女施主，可要佛前进香？,"(5006,)",少女,5015,"(400,)","(2,)","(-309,)",,3,,1003,,,
,400,"青湖估摸着还在吃栗子，我随意寻了个大殿进去,我拈了三炷香，拜一拜佛祖，愿我爹一切顺利。我旁边有一个美貌的少女正一脸虔诚的跪在佛前。",,旁白,0,"(401,)",,,,3,,1003,,,
,401,愿佛祖保佑信女能够寻到一个如意郎君。,"(40009,)",霍曼曼,40009,"(402,)","(2,)","(-309,)",,3,10009,1003,,,
,402,嗯？,"(40009,)",玩家,-1,"(403,)","(2,)","(-309,)",,3,,1003,,,
,403,……我太大声了吗？被听到了？,"(40009,)",霍曼曼,40009,"(404,)","(2,)","(-309,)",,3,,1003,,,
,404,我什么都没有听到。,"(40009,)",玩家,-1,"(405,)","(2,)","(-309,)",,3,,1003,,,
,405,这位姐姐莫要取笑我……,"(40009,)",霍曼曼,40009,"(406,)","(2,)","(-309,)",,3,,1003,,,
,406,人生大事，自然是要求佛祖保佑一二的，有什么好羞的。,"(40009,)",玩家,-1,"(407,)","(2,)","(-309,)",,3,,1003,,,
,407,我笑了笑，也拈香拜倒。,"(40009,)",旁白,0,"(408,)","(2,)","(-309,)",,3,,1003,,,
,408,愿佛祖保佑，信女也能够寻得一个如意郎君。不光要高大英俊，最好诗书传家，三公九卿，腹有才华。若是不成，貌如潘安，羡煞众人也成呐！,"(40009,)",玩家,-1,"(409,)","(2,)","(-309,)",,3,,1003,,,
,409,……姐姐真是促狭。,"(40009,)",霍曼曼,40009,"(410,)","(2,)","(-309,)",,3,,1003,,,
,410,我眨了眨眼。,"(40009,)",旁白,0,"(411,)","(2,)","(-309,)",,3,,1003,,,
,411,多谢妹妹夸奖。,"(40009,)",玩家,-1,"(412,)","(2,)","(-309,)",,3,,1003,,,
,412,……小姐！您去哪了，奴婢寻遍了也没找着您！,"(40009,)",青湖,40021,"(413,)","(2,)","(-309,)",,3,,1003,,,
,413,我就在这寺中逛逛，也没去哪呀。,"(40021,40009,)",玩家,-1,"(414,)","(1,3,)","(-309,-309,)",,3,,1003,,,
,414,奴婢真是要给您吓死了！,"(40021,40009,)",青湖,40021,"(415,)","(1,3,)","(-309,-309,)",,3,,1003,,,
,415,那个美貌的少女冲我笑了笑，低着头带着丫鬟离开了。,"(40021,)",旁白,0,"(416,)","(2,)","(-309,)",,3,,1003,,,
,416,我有点遗憾的想，还没问名字呢。,"(40021,)",旁白,0,"(417,)","(2,)","(-309,)",,3,,1003,,,
,417,小姐，你在想什么呢？,"(40021,)",青湖,40021,"(418,)","(2,)","(-309,)",,3,,1003,,,
,418,你稍等我下！,"(40021,)",玩家,-1,,"(2,)","(-309,)",,3,,1003,,,
3-5—（33）-霍曼曼,419,姑娘！稍等！,"(40021,)",玩家,-1,"(420,)","(2,)","(-309,)",,3,,1003,,,
,420,哎？这位姐姐可有什么事吗?,"(40009,)",霍曼曼,40009,"(421,)","(2,)","(-309,)",,3,,1003,,,
,421,我与妹妹一见便觉得有缘，不如互通个姓名吧——以后若是有缘，也好当个手帕交。,"(40009,)",玩家,-1,"(422,)","(2,)","(-309,)",,3,,1003,,,
,422,我姓霍，我爹是当朝右相霍禁，姐姐呢？,"(40009,)",霍曼曼,40009,"(423,)","(2,)","(-309,)",,3,,1003,,,
,423,倒是我高攀啦！我姓南，是户部尚书南鹤之长女。,"(40009,)",玩家,-1,"(424,)","(2,)","(-309,)",,3,,1003,,,
,424,南先生之长女？你就是南且朝口中的长姐？,"(40009,)",霍曼曼,40009,"(425,)","(2,)","(-309,)",,3,,1003,,,
,425,正是。那今日便就此别过，改日若是得闲，妹妹记得给我下帖子，我必是来的。,"(40009,)",玩家,-1,"(426,)","(2,)","(-309,)",,3,,1003,,,
,426,好，那我就静候姐姐佳音了。,"(40009,)",霍曼曼,40009,"(427,)","(2,)","(-309,)",,3,,1003,,,
,427,告辞。青湖，我们走吧。,"(40021,40009,)",玩家,-1,"(428,)","(1,3,)","(-309,-309,)",,3,,1003,,,
,428,是。,"(40021,40009,)",青湖,40021,,"(1,3,)","(-309,-309,)",,3,,1001,,,
3-6-（34）-王伯,429,恭迎大小姐回府。,"(40028,)",王管家,40028,"(430,)","(2,)","(-309,)",,1,,1001,,,
,430,劳王伯亲自相迎，可是有何要事发生？,"(40028,)",玩家,-1,"(431,)","(2,)","(-356,)",,1,,1001,,,
,431,半个时辰前，有黑衣人袭击夫人的小院，被几位影卫大人拦下，已全数击毙。,"(40028,)",王管家,40028,"(432,)","(2,)","(-356,)",,1,,1001,,,
,432,那太太呢？,"(40028,)",玩家,-1,"(433,)","(2,)","(-356,)",,1,,1001,,,
,433,太太安然无恙，只是受了惊吓，已经睡下了。,"(40028,)",王管家,40028,"(434,)","(2,)","(-356,)",,1,,1001,,,
,434,我去看看，小姐回去休息吧。,"(40028,)",承影,40008,"(435,)","(2,)","(-356,)",,1,,1001,,,
,435,多谢你。,"(40008,)",玩家,-1,"(436,)","(2,)","(-356,)",,1,,1001,,,
,436,不敢言谢。,"(40008,)",承影,40008,"(437,)","(2,)","(-356,)",,1,,1001,,,
,437,大小姐，刑部传书，老爷马上就能回府了。,"(40028,)",王管家,40028,"(438,)","(2,)","(-356,)",,1,,1001,,,
,438,正好。王伯劳您安排扫撒庭院，准备火盆柚叶。,"(40028,)",玩家,-1,"(439,)","(2,)","(-356,)",,1,,1001,,,
,439,你回来了？,"(40032,)",南鹤,40032,"(440,)","(2,)","(-356,)",,1,10032,1001,,,
,440,我手持柚叶，在我爹身上轻拂了两下，微微一笑。,"(40032,)",旁白,0,"(441,)","(2,)","(-356,)",,1,,1001,,,
,441,正是，家中有难，儿怎能不归？,"(40032,)",玩家,-1,"(442,)","(2,)","(-356,)",,1,,1001,,,
,442,行了行了，弄什么虚礼，我去洗漱一番，你一会儿来寻我，我有事问你。,"(40032,)",南鹤,40032,"(443,)","(2,)","(-356,)",,1,,1001,,,
,443,是。,"(40032,)",玩家,-1,"(444,)","(2,)","(-356,)",,1,,1001,,,
,444,父亲回来没有看见太太相迎，居然没有露出什么异色，怕是已经知道了太太做的事。,"(40032,)",旁白,0,,"(2,)","(-356,)",,1,,1001,,,
3-7-(35)-南鹤,445,见过父亲。,"(40032,)",玩家,-1,"(446,)","(2,)","(-356,)",,3,,1001,,,
,446,你来了？这几日你所作所为我已知晓，辛苦你了。,"(40032,)",南鹤,40032,"(447,)","(2,)","(-356,)",,3,,1001,,,
,447,咦？我还以为父亲要问责呢！,"(40032,)",玩家,-1,"(448,)","(2,)","(-356,)",,3,,1001,,,
,448,问什么责？你当你爹老糊涂了？,"(40032,)",南鹤,40032,"(449,)","(2,)","(-356,)",,3,,1001,,,
,449,我将您老婆关在了院子里，您当真不生气？,"(40032,)",玩家,-1,"(450,)","(2,)","(-356,)",,3,,1001,,,
,450,生气！你一会儿也给我滚回院子里待着！别想着偷溜回你师父那儿！,"(40032,)",南鹤,40032,"(451,)","(2,)","(-356,)",,3,,1001,,,
,451,爹爹！女儿要回去继续学业啊——我不回去师父可要训我的！,"(40032,)",玩家,-1,"(452,)","(2,)","(-356,)",,3,,1001,,,
,452,给你师父酿酒买鸭子求薛娘子给你师父制笺？你爹我都没这待遇！,"(40032,)",南鹤,40032,"(453,)","(2,)","(-356,)",,3,,1001,,,
,453,爹，你咋知道的？,"(40032,)",玩家,-1,"(454,)","(2,)","(-356,)",,3,,1001,,,
,454,……此事回头再谈，只是你不准偷偷溜回去。,"(40032,)",南鹤,40032,"(455,)","(2,)","(-356,)",,3,,1001,,,
,455,是是是，我们先谈正经事？,"(40032,)",玩家,-1,"(456,)","(2,)","(-356,)",,3,,1001,,,
,456,虽然不知你是如何察觉到的，将柳氏与外界断绝联系确实是一手好棋。,"(40032,)",南鹤,40032,"(457,)","(2,)","(-356,)",,3,,1001,,,
,457,这次您牢狱之灾，与太太有关？,"(40032,)",玩家,-1,"(458,)","(2,)","(-356,)",,3,,1001,,,
,458,如若不是，你以为我会纵容你如此踩太太的脸面？自古以来，嫡庶之争不绝，我也不曾想过能幸免于难。,"(40032,)",南鹤,40032,"(459,)","(2,)","(-356,)",,3,,1001,,,
,459,我听青湖说，百花使曾来我家？爹你是正二品户部尚书，自然有一个选秀名额，我是元配嫡长之女，为何名额会落在二妹身上？,"(40032,)",玩家,-1,"(460,)","(2,)","(-356,)",,3,,1001,,,
,460,你常年不在家，柳氏糊弄了一番，将你二妹顶了你的名额入了选。,"(40032,)",南鹤,40032,"(461,)","(2,)","(-356,)",,3,,1001,,,
,461,既然如此，我也无意回来抢这个名额，太太为何会有此举？,"(40032,)",玩家,-1,"(462,)","(2,)","(-356,)",,3,,1001,,,
,462,你无意，柳氏却不放心，只要你嫁人了，她才是真放心——且若你不嫁人，我南府便是欺君之罪。,"(40032,)",南鹤,40032,"(463,)","(2,)","(-356,)",,3,,1001,,,
,463,你随师在外，到时便说你在外地成的亲，别人也就无所谓了。,"(40032,)",南鹤,40032,"(464,)","(2,)","(-356,)",,3,,1001,,,
,464,原来如此。,"(40032,)",玩家,-1,"(465,)","(2,)","(-356,)",,3,,1001,,,
,465,这本是一步好棋，若不是您入狱，她给我寻得亲事我怕也点头应了。,"(40032,)",玩家,-1,"(466,)","(2,)","(-356,)",,3,,1001,,,
,466,确实，你娘当年与人戏言，如今我南府患难之时人家却能遵守诺言，答应娶你过门。从人品上毫无指诋之处。若是你真的嫁了，我回来也不会刁难柳氏。,"(40032,)",南鹤,40032,"(467,)","(2,)","(-356,)",,3,,1001,,,
,467,女婿穷，大不了多多提拔就是了。,"(40032,)",南鹤,40032,"(468,)","(2,)","(-356,)",,3,,1001,,,
,468,然而太太为了能让戏言成真，却伙同您的政敌将您陷害入狱，这手笔……,"(40032,)",玩家,-1,"(469,)","(2,)","(-356,)",,3,,1001,,,
,469,既愚蠢，又狠毒。,"(40032,)",南鹤,40032,"(470,)","(2,)","(-356,)",,3,,1001,,,
,470,我拍手大笑。,"(40032,)",旁白,0,"(471,)","(2,)","(-356,)",,3,,1001,,,
,471,爹，你嘴真毒。,"(40032,)",玩家,-1,"(472,)","(2,)","(-356,)",,3,,1001,,,
,472,你怎么知道是柳氏联手的是我的政敌？,"(40032,)",南鹤,40032,"(473,)","(2,)","(-356,)",,3,,1001,,,
,473,得了吧，要不是我发现得早，等您回来就可以办丧事顺便另娶了。,"(40032,)",玩家,-1,"(474,)","(2,)","(-356,)",,3,,1001,,,
,474,……也罢，我年岁也是不轻，你二妹和弟弟也正是要娶妻嫁人的年纪了，若去其母怕是对前途有影响。我明日就命人将其送到庄子上去，你也不要气不过，就当是为了你爹。,"(40032,)",南鹤,40032,"(475,)","(2,)","(-356,)",,3,,1001,,,
,475,成，为了我爹，没啥不能忍的。,"(40032,)",玩家,-1,"(476,)","(2,)","(-356,)",,3,,1001,,,
,476,既然如此，还有一事。,"(40032,)",南鹤,40032,"(477,)","(2,)","(-356,)",,3,,1001,,,
,477,我有点不好的预感。,"(40032,)",玩家,-1,"(478,)","(2,)","(-356,)",,3,,1001,,,
,478,柳氏冒名顶替一事陛下已经知晓，你收拾收拾，隔日便入宫吧，妃嫔是不用想了，进去当个女官吧。,"(40032,)",南鹤,40032,"(479,)","(2,)","(-356,)",,3,,1001,,,
,479,……爹爹我是您亲生的吗？,"(40032,)",玩家,-1,"(480,)","(2,)","(-356,)",,3,,1001,,,
,480,胡说八道什么！你爹这张老脸还是有点面子的，过个一年半载自然会想办法把你给弄出来！你在宫中小心便是！,"(40032,)",南鹤,40032,"(481,)","(2,)","(-356,)",,3,,1001,,,
,481,爹你千万记得捞我出来啊！,"(40032,)",玩家,-1,"(482,)","(2,)","(-356,)",,3,,1001,,,
,482,捞什么捞！口无禁忌！行了行了，快滚快滚，我看见你就头疼。,"(40032,)",南鹤,40032,"(483,)","(2,)","(-356,)",,3,,1001,,,
,483,嘻嘻，行吧，我走啦，您先休息。,"(40032,)",玩家,-1,"(484,)","(2,)","(-356,)",,3,,1001,,,
,484,就这样，隔日，我包袱款款，进宫成了一个女官。,"(40032,)",旁白,0,,"(2,)","(-356,)",,3,,1001,,,
4-1-(36)-朱尚宫,490,南学士，今日起你便是这集贤馆中学士，不属六部，执掌教习妃嫔、宫人文化数算，你可有疑？,"(5013,)",朱尚宫,5013,"(491,)","(2,)","(-309,)",,1,,1004,,,
,491,多谢朱尚宫教诲。,"(5013,)",玩家,-1,"(492,)","(2,)","(-309,)",,1,,1004,,,
,492,这是宫中负责人员调动的尚宫局总管，宫内多以官职称呼对方，所以我称她一声‘尚宫’。,"(5013,)",旁白,0,"(493,)","(2,)","(-309,)",,1,,1004,,,
,493,南学士客气，今后您便住与集贤馆中，与你共住的还有荀学士，还请二位联手协作，勿起争执。,"(5013,5027,)",朱尚宫,5013,"(494,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,494,在我一旁的是早我一步入宫的女官，姓荀，同是属于集贤馆的学士一职，与我不分上下。,"(5013,5027,)",旁白,0,"(495,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,495,是。,"(5013,5027,)",玩家,-1,"(496,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,496,是。,"(5013,5027,)",荀学士,5027,,"(1,3,)","(-309,-309,)",,1,,1004,,,
4-2-(37)荀学士,497,你就是那个南府大小姐？听你妹妹说，你拜了个山野之人做师父还成天在外抛头露面？\n真是……,"(5027,)",荀学士,5027,"(498,)","(2,)","(-309,)",,1,,1004,,,
,498,正是，荀学士可有何见教？,"(5027,)",玩家,-1,"(499,)","(2,)","(-309,)",,1,,1004,,,
,499,不敢说见教，只是女子还是以贞静为要，不然将来如何执掌门庭？\n哦对……听闻，你亲娘早就过世了？,"(5027,)",荀学士,5027,"(500,)","(2,)","(-309,)",,1,,1004,,,
,500,既然如此……原也不怪你。,"(5027,)",荀学士,5027,"(501,)","(2,)","(-309,)",,1,,1004,,,
,501,我母亲乃是我父原配嫡妻，乃是当朝追封二品诰命。\n还请荀学士语言之中尊重一二，请称呼我母亲为‘南大夫人’亦或者‘南夫人’。,"(5027,)",玩家,-1,"(502,)","(2,)","(-309,)",,1,,1004,,,
,502,早闻荀大人府上礼教过人，堪称典范，至今才见识了一番。,"(5027,)",玩家,-1,"(503,)","(2,)","(-309,)",,1,,1004,,,
,503,你！……哼！,"(5027,)",荀学士,5027,,"(2,)","(-309,)",,1,,1004,,对话结束后与荀学士对话进入战斗,
4-3-（38）长雍君,504,何事如此吵闹？\n……原来是你。,"(40001,)",长雍君,40001,"(505,)","(2,)","(-356,)",,2,,1004,,,
,505,见过国师大人。,"(40001,)",玩家,-1,"(506,)","(2,)","(-356,)",,2,,1004,,,
,506,起……宫廷之中，勿需多礼。,"(40001,)",长雍君,40001,"(507,)","(2,)","(-356,)",,2,,1004,,,
,507,是。,"(40001,)",玩家,-1,"(508,)","(2,)","(-356,)",,2,,1004,,,
,508,我暗暗咋舌，听闻国师无事不出观星台，一年之间除却大祭外甚少出现在外人眼前……可是我却已经是第二次见到他了。,"(40001,)",旁白,0,"(509,)","(2,)","(-356,)",,2,,1004,,,
,509,国师大人来此可是有何书要寻？奴婢这就为您将荀学士寻来。,"(40001,)",玩家,-1,"(510,)","(2,)","(-356,)",,2,,1004,,,
,510,殿下。,"(40001,)",长雍君,40001,"(511,)","(2,)","(-356,)",,2,,1004,,,
,511,……？,"(40001,)",玩家,-1,"(512,)","(2,)","(-356,)",,2,,1004,,,
,512,称我为‘殿下’即可。,"(40001,)",长雍君,40001,"(513,)","(2,)","(-356,)",,2,,1004,,,
,513,是，殿下。殿下可有何吩咐？,"(40001,)",玩家,-1,"(514,)","(2,)","(-356,)",,2,,1004,,,
,514,……无，你退下吧。,"(40001,)",长雍君,40001,"(515,)","(2,)","(-356,)",,2,,1004,,,
,515,是。,"(40001,)",玩家,-1,"(516,)","(2,)","(-356,)",,2,,1004,,,
,516,我听话的退下，正想悄悄的看一眼国师是否走了，没想到一抬头，便看见国师注视着我。,"(40001,)",旁白,0,"(517,)","(2,)","(-356,)",,2,,1004,,,
,517,………………！,"(40001,)",玩家,-1,"(518,)","(2,)","(-356,)",,2,,1004,,,
,518,怎？可还有他事？,"(40001,)",长雍君,40001,"(519,)","(2,)","(-356,)",,2,,1004,,,
,519,奴婢失礼，奴婢告退。,"(40001,)",玩家,-1,"(520,)","(2,)","(-356,)",,2,,1004,,,
,520,失礼……没有惩罚么？,"(40001,)",长雍君,40001,"(521,)","(2,)","(-356,)",,2,,1004,,,
,521,……奴婢知错。,"(40001,)",玩家,-1,"(522,)","(2,)","(-356,)",,2,,1004,,,
,522,我顺从的跪了下来，低头认错。,"(40001,)",旁白,0,"(523,)","(2,)","(-356,)",,2,,1004,,,
,523,我爹说过，在宫中胆大的和死不认错的一般都死得贼快，若是嘴硬等到我爹收到消息我怕是都凉透了。,"(40001,)",旁白,0,"(524,)","(2,)","(-356,)",,2,,1004,,,
,524,不过我爹让我放心，只要不是我犯了谋反的大罪，尸体总还是能捞回去的。,"(40001,)",旁白,0,"(525,)","(2,)","(-356,)",,2,,1004,,,
,525,我……呸！我深深怀疑我压根不是我爹亲生的！,"(40001,)",旁白,0,"(526,)","(2,)","(-356,)",,2,,1004,,,
,526,今日差事结束后，去观星台跪半个时辰。,"(40001,)",长雍君,40001,"(527,)","(2,)","(-356,)",,2,,1004,,,
,527,……奴婢遵命！,"(40001,)",玩家,-1,"(528,)","(2,)","(-356,)",,2,,1004,,,
,528,你乃是当朝户部尚书之女，因何自称‘奴婢’？,"(40001,)",长雍君,40001,"(529,)","(2,)","(-356,)",,2,,1004,,,
,529,准你以后自称‘我’。,"(40001,)",长雍君,40001,"(530,)","(2,)","(-356,)",,2,,1004,,,
,530,多谢殿下！,"(40001,)",玩家,-1,"(531,)","(2,)","(-356,)",,2,,1004,,,
,531,我听见悉悉索索的声音伴随着脚步声离去后，我才敢松了口气。,"(40001,)",旁白,0,"(532,)","(2,)","(-356,)",,2,,1004,,,
,532,国师之称，名副其实。当他毫无波澜的看向你的时候，你便觉得，那一眼似乎阅尽了你的前世今生一般。,,旁白,0,"(533,)",,,,2,,1004,,,
,533,普通人之于他，便如三岁小童抱金入市，若想取之，不亚于探囊取物一般……今后还是少与国师接触为上。,,旁白,0,,,,,2,,1004,,,
4-4-（39）荀学士,534,你这丫头！给我跪下！你是故意将这水泼我身上的吗？！,"(5027,)",荀学士,5027,"(535,)","(2,)","(-309,)",,1,,1004,,,
,535,学士恕罪！奴婢不是有意的……,"(5006,5027,)",小宫女,5006,"(536,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,536,哼！我看你就是有意的！你说，是不是那个姓南的来了，你就动了心想去她那处服侍？看我不好好教训你！,"(5006,5027,)",荀学士,5027,"(537,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,537,奴婢不敢！学士赎罪！,"(5006,5027,)",小宫女,5006,"(538,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,538,这人怕不是拎不清。,"(5006,5027,)",玩家,-1,"(539,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,539,紧接着便是一记清脆的响声。,"(5006,5027,)",旁白,0,"(540,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,540,给我去叫人！我今天非打死这个不知天高地厚的婢子不可！,"(5006,5027,)",荀学士,5027,"(541,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,541,……莫不是她知道我在此处？,"(5006,5027,)",玩家,-1,"(542,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,542,真是没法子了。,"(5006,5027,)",玩家,-1,"(543,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,543,荀学士好大的火气。,"(5006,5027,)",玩家,-1,"(544,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,544,南学士！南学士快救救婢子！,"(5006,5027,)",小宫女,5006,"(545,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,545,妹妹方入宫，见血不吉，荀学士不如给妹妹一个面子？,"(5006,5027,)",玩家,-1,"(546,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,546,你是什么东西？敢让我给你面子？,"(5006,5027,)",荀学士,5027,"(547,)","(1,3,)","(-309,-309,)",,1,,1004,,自动进入战斗，BOSS荀流芳。,
,547,行了行了，你走吧。,"(5006,5027,)",玩家,-1,"(548,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,548,多谢学士！奴婢告退！,"(5006,5027,)",小宫女,5006,"(549,)","(1,3,)","(-309,-309,)",,1,,1004,,,
,549,你！,"(5027,)",荀学士,5027,"(550,)","(2,)","(-309,)",,1,,1004,,,
,550,我翻了翻手中的团扇，满意的看着上面的牡丹纹，冲她微微一笑。\n如果不是她拿我作筏子，我也不想管这种事儿。,"(5027,)",旁白,0,"(551,)","(2,)","(-309,)",,1,,1004,,,
,551,为什么隔壁王爷爷能活九十九岁？\n——因为他从来不多管闲事。,"(5027,)",旁白,0,"(552,)","(2,)","(-309,)",,1,,1004,,,
,552,荀学士莫不是还想再比过一场？,"(5027,)",玩家,-1,"(553,)","(2,)","(-309,)",,1,,1004,,,
,553,……哼！我们走着瞧！,"(5027,)",荀学士,5027,,"(2,)","(-309,)",,1,,1004,,,
4-5-（40）青湖,554,不好了！小姐！——,"(40021,)",青湖,40021,"(555,)","(2,)","(-309,)",,3,,1004,,,
,555,冷静，青湖。\n青湖，我发现自从我回来，你与我说的最多的便是‘不好了，小姐！’。,"(40021,)",玩家,-1,"(556,)","(2,)","(-309,)",,3,,1004,,,
,556,小姐！您就知道取笑我！\n……哎不对！这次是真的不好了！\n奴婢收到消息说荀德妃娘娘派了人正在来的路上，她要寻您的麻烦啊！,"(40021,)",青湖,40021,"(557,)","(2,)","(-309,)",,3,,1004,,,
,557,……还真是不好了。,"(40021,)",玩家,-1,"(558,)","(2,)","(-309,)",,3,,1004,,,
,558,我爹在我入宫前给我分析过……,"(40021,)",旁白,0,"(559,)","(2,)","(-309,)",,3,,1004,,,
,559,荀德妃虽说不是宫中宠妃，却是最有权势的一位。\n皇后娘娘与君上鹣鲽情深，自元后薨后，君上便不再另立皇后……\n这宫中权柄便是德妃娘娘代理执掌。,"(40032,)",南鹤,40032,"(560,)","(2,)","(-356,)",,3,,1001,"(10014,)",,
,560,而元后所出太子殿下更是胎中带病，降生后更是连年积病。\n当时药王孙思邈断定太子无法活过弱冠之年，就是如此也被君上一意定为太子……,"(40032,)",南鹤,40032,"(561,)","(2,)","(-356,)",,3,,1001,,,
,561,当时朝中左右丞相都不赞同，连驳了君上三道旨意。,"(40032,)",南鹤,40032,"(562,)","(2,)","(-356,)",,3,,1001,,,
,562,当年两位相公一位姓张，一位姓刘。,"(40032,)",南鹤,40032,"(563,)","(2,)","(-356,)",,3,,1001,,,
,563,……我记得现在两位相公姓氏是胡和霍吧？,"(40032,)",玩家,-1,"(564,)","(2,)","(-356,)",,3,,1001,,,
,564,……懂了懂了，君上真是铁血手腕。,"(40032,)",玩家,-1,"(565,)","(2,)","(-356,)",,3,,1001,,,
,565,闭嘴，听我说完。\n你入宫后，一是不能得罪君上，天子一怒，浮尸万里，这不必我多说。\n再者是太子殿下，君上爱太子甚……再者是国师，再然后便是这位德妃娘娘。,"(40032,)",南鹤,40032,"(566,)","(2,)","(-356,)",,3,,1001,,,
,566,德妃娘娘育有一子，便是公子尘来。\n如今距离太子弱冠之年仅剩半年了，到时太子……这位殿下便是最有力的继位者……,"(40032,)",南鹤,40032,"(567,)","(2,)","(-356,)",,3,,1001,,,
,567,您的意思就是莫要跟那帮子权力中心之人有纠葛，能躲便躲？\n安心等着您把我捞出来？,"(40032,)",玩家,-1,"(568,)","(2,)","(-356,)",,3,,1001,,,
,568,孺子可教。,"(40032,)",南鹤,40032,"(569,)","(2,)","(-356,)",,3,,1001,,,
,569,不过你也别慌，若是你真得罪了谁，只要不是当场便死了……\n大不了这官不要了，你爹我厚着脸皮去找你师傅把你给抢出来就是了。,"(40032,)",南鹤,40032,"(570,)","(2,)","(-356,)",,3,,1001,,,
,570,爹我一定是你亲生的！,"(40032,)",玩家,-1,"(571,)","(2,)","(-356,)",,3,,1001,,,
,571,……,"(40032,)",南鹤,40032,"(572,)","(2,)","(-356,)",,3,,1001,,,
,572,小姐！小姐！\n您想什么呢！人家嬷嬷都快到了！——,"(40021,)",青湖,40021,"(573,)","(2,)","(-309,)",,3,,1004,,,
,573,哼！这位姑娘好大的胆子！\n进宫不过短短时日，嚣张跋扈之名连德妃娘娘也有耳闻！\n德妃娘娘令我来给姑娘立立规矩！姑娘领了吧！,"(5014,)",王嬷嬷,5014,,"(2,)","(-309,)",,3,,1004,,对话完，点击王嬷嬷进入战斗,
4-6-(41)-王嬷嬷,574,王嬷嬷，您不妨告诉我一二，是谁说我嚣张跋扈的？,"(5014,)",玩家,-1,"(575,)","(2,)","(-309,)",,2,,1004,,,
,575,哼！在宫中动手！好大的胆子！,"(5014,)",王嬷嬷,5014,"(576,)","(2,)","(-309,)",,2,,1004,,,
,576,我虽是八品学士，却也是当朝户部尚书南鹤之女，嬷嬷屡次想对我施以私行，怕是不合适吧？,"(5014,)",玩家,-1,"(577,)","(2,)","(-309,)",,2,,1004,,,
,577,只要嬷嬷告诉我，是谁跑去德妃娘娘耳边做些小人勾当，我必既往不咎。,"(5014,)",玩家,-1,"(578,)","(2,)","(-309,)",,2,,1004,,,
,578,………………,"(5014,)",王嬷嬷,5014,"(579,)","(2,)","(-309,)",,2,,1004,,,
,579,您威胁老奴是没有用的，姑娘还是好好想想，您到底的罪过谁吧！,"(5014,)",王嬷嬷,5014,"(580,)","(2,)","(-309,)",,2,,1004,,,
,580,多谢嬷嬷。,"(5014,)",玩家,-1,"(581,)","(2,)","(-309,)",,2,,1004,,,
,581,小姐真厉害！,"(40021,)",青湖,40021,"(582,)","(2,)","(-309,)",,2,,1004,,,
,582,……青湖，你……罢了。,"(40021,)",玩家,-1,"(583,)","(2,)","(-309,)",,2,,1004,,,
,583,小姐怎么了？,"(40021,)",青湖,40021,"(584,)","(2,)","(-309,)",,2,,1004,,,
,584,……糖葫芦吃吗？,"(40021,)",玩家,-1,"(585,)","(2,)","(-309,)",,2,,1004,,,
,585,吃！小姐最棒了！,"(40021,)",青湖,40021,,"(2,)","(-309,)",,2,,1004,,,
4-7-(42)-长雍君,586,我入宫的第一个月就这样过去了。,,旁白,0,"(587,)",,,,1,,1004,,,
,587,宫中的日子没有想象中那么难捱，我们集贤馆甚少有达官贵人来此。\n即便是来了，也是自己寻书找卷，极少来找我们的麻烦。\n日子过得舒服极了，连荀学士偶尔来找茬都成了小小的调剂品。,,旁白,0,"(588,)",,,,1,,1004,,,
,588,……傻笑什么？,"(40001,)",长雍君,40001,"(589,)","(2,)","(-309,)",,1,,1004,,,
,589,我走了个神，还望殿下恕罪。,"(40001,)",玩家,-1,"(590,)","(2,)","(-309,)",,1,,1004,,,
,590,……恩。,"(40001,)",长雍君,40001,"(591,)","(2,)","(-309,)",,1,,1004,,,
